epoch,train_loss,val_loss,lr
1,0.15625602270786962,0.1094991761175069,0.0005
2,0.1251647025346756,0.10783145712180571,0.0005
3,0.10412069394563635,0.09986604919487779,0.0005
4,0.08592511635894577,0.09037132408808578,0.0005
5,0.07750144740566611,0.09003257649866017,0.0005
6,0.06825825509925683,0.09176474284719337,0.0005
7,0.06272742928316195,0.09204860421066935,0.0005
8,0.062237664979572095,0.096779629080133,0.0005
9,0.05490598028215269,0.09332962325689467,0.0005
10,0.05185712004701296,0.09448367289521477,0.0005
11,0.047497117814297475,0.09751262604682283,0.0005
12,0.04402440879493952,0.10006506588648666,0.0005
13,0.041264805321892105,0.10389404710043561,0.0005
14,0.037057346159902714,0.11051374330947344,0.00025
15,0.03559584263712168,0.11032547158273784,0.00025
16,0.03279141499660909,0.11419777694920247,0.00025
17,0.03281798776394377,0.11369994032958691,0.00025
18,0.03152653586585075,0.1120334483513778,0.00025
19,0.03285059026287248,0.11611877436834303,0.00025
20,0.02982449810951948,0.1167650649599223,0.00025
21,0.028807369022009272,0.1180094130421904,0.00025
22,0.029092952337426443,0.11940048363017426,0.00025
23,0.028291775418135028,0.12095700650983914,0.000125
24,0.02796620603961249,0.12093321219171313,0.000125
25,0.026299643175055582,0.12241357379719954,0.000125
