timestamp,obs_time,station_id,station_type,source,quality_flag,fetched_at,wind_speed,wind_gust,wind_direction,wind_gust_direction,raw_station_ref,raw_wind_speed,raw_wind_gust,raw_wind_direction,raw_wind_gust_direction,unit_conversion_applied,original_unit,normalized_unit
2026-07-08T23:28:00+08:00,2026-07-08T23:28:00+08:00,KHWD05,wind,twport_realtime_panel,ok,2026-07-08T23:31:16+08:00,2.601,4.59,320.0,320.0,KHWD05M01,2.601,4.59,320.0,320.0,False,,m/s
2026-07-10T18:54:00+08:00,2026-07-10T18:54:00+08:00,KHWD05,wind,twport_realtime_panel,ok,2026-07-10T18:57:14+08:00,0.886,1.23,131.0,131.0,KHWD05M01,0.886,1.23,131.0,131.0,False,,m/s
2026-07-10T20:29:00+08:00,2026-07-10T20:29:00+08:00,KHWD05,wind,twport_realtime_panel,ok,2026-07-10T20:31:56+08:00,4.708,6.63,353.0,356.0,KHWD05M01,4.708,6.63,353.0,356.0,False,,m/s
2026-07-10T21:30:00+08:00,2026-07-10T21:30:00+08:00,KHWD05,wind,twport_realtime_panel,ok,2026-07-10T21:32:32+08:00,4.689,6.75,338.0,355.0,KHWD05M01,4.689,6.75,338.0,355.0,False,,m/s
