timestamp,obs_time,station_id,station_type,source,quality_flag,fetched_at,wind_speed,wind_gust,wind_direction,wind_gust_direction,raw_station_ref,raw_wind_speed,raw_wind_gust,raw_wind_direction,raw_wind_gust_direction,unit_conversion_applied,original_unit,normalized_unit
2026-07-08T23:27:00+08:00,2026-07-08T23:27:00+08:00,KHWD08,wind,twport_realtime_panel,ok,2026-07-08T23:31:16+08:00,1.181,2.14,23.0,12.0,KHWD08M01,1.181,2.14,23.0,12.0,False,,m/s
2026-07-10T18:53:00+08:00,2026-07-10T18:53:00+08:00,KHWD08,wind,twport_realtime_panel,ok,2026-07-10T18:57:14+08:00,5.641,7.22,350.0,357.0,KHWD08M01,5.641,7.22,350.0,357.0,False,,m/s
2026-07-10T20:28:00+08:00,2026-07-10T20:28:00+08:00,KHWD08,wind,twport_realtime_panel,ok,2026-07-10T20:31:56+08:00,3.619,5.13,345.0,342.0,KHWD08M01,3.619,5.13,345.0,342.0,False,,m/s
2026-07-10T21:29:00+08:00,2026-07-10T21:29:00+08:00,KHWD08,wind,twport_realtime_panel,ok,2026-07-10T21:32:32+08:00,3.891,6.09,333.0,352.0,KHWD08M01,3.891,6.09,333.0,352.0,False,,m/s
