station_id,target_group,variable,anchor,mae,rmse,bias,accuracy_grade,beats_persistence
C4Q01,wind_speed_gust,wind_speed,H1,1.542267952859402,1.5698223800091005,1.542267952859402,poor,False
C4Q01,wind_speed_gust,wind_speed,H2,1.6302277266979222,1.655576483388983,1.6302277266979222,acceptable,False
C4Q01,wind_speed_gust,wind_speed,H3,1.6577219307422644,1.6772653140979104,1.6577219307422644,acceptable,False
C4Q01,wind_speed_gust,wind_speed,H4,1.8128872856497769,1.833577553128885,1.8128872856497769,excellent,False
C4Q01,wind_speed_gust,wind_gust,H1,2.4475212059915066,2.5075663252952993,2.4475212059915066,poor,False
C4Q01,wind_speed_gust,wind_gust,H2,2.3675472669303415,2.444997224240734,2.3675472669303415,acceptable,False
C4Q01,wind_speed_gust,wind_gust,H3,1.8191442519426346,1.9989648855023405,1.8191442519426346,excellent,False
C4Q01,wind_speed_gust,wind_gust,H4,2.0084813937544816,2.207248950937548,2.0084813937544816,excellent,False
C4Q01,tide_level,tide_level,H1,0.16762509100294362,0.19887994771561399,0.14930634938335666,excellent,False
C4Q01,tide_level,tide_level,H2,0.0936880366768067,0.10323830989673859,-0.013584988686876994,excellent,False
C4Q01,tide_level,tide_level,H3,0.1955515352077782,0.23311688716692047,-0.13224606139585374,excellent,False
C4Q01,tide_level,tide_level,H4,0.16215151889249682,0.18677015109693068,-0.07794288321708641,excellent,False
C4Q02,wind_speed_gust,wind_speed,H1,1.3046796619892118,1.4195272655987847,1.3046796619892118,acceptable,False
C4Q02,wind_speed_gust,wind_speed,H2,0.5070184171199799,0.6593191406233332,0.41860594153404235,excellent,True
C4Q02,wind_speed_gust,wind_speed,H3,0.4771527349948881,0.5793187684900196,0.4457022964954374,excellent,True
C4Q02,wind_speed_gust,wind_speed,H4,2.5480271279811855,2.5884366158300653,2.5480271279811855,acceptable,False
C4Q02,wind_speed_gust,wind_gust,H1,1.2817658136288326,1.5212479388589764,1.2817658136288326,acceptable,False
C4Q02,wind_speed_gust,wind_gust,H2,0.8123477697372437,1.0761592077028506,0.7377907335758209,excellent,True
C4Q02,wind_speed_gust,wind_gust,H3,2.7204928596814475,2.9275439240426535,2.7204928596814475,acceptable,False
C4Q02,wind_speed_gust,wind_gust,H4,1.752745618422826,1.8946865748009718,1.752745618422826,excellent,False
C4Q02,tide_level,tide_level,H1,0.23980257422663273,0.26373307613203206,0.23980257422663273,excellent,False
C4Q02,tide_level,tide_level,H2,0.12318658789930248,0.1488348967259602,0.10549906552769246,excellent,False
C4Q02,tide_level,tide_level,H3,0.1528165837439398,0.19117891369079618,0.11851700646802783,excellent,False
C4Q02,tide_level,tide_level,H4,0.16375390517835817,0.20664335769974948,0.13945947466418143,excellent,False
467441,precipitation,precipitation_1hr,H1,0.0,0.0,0.0,excellent,False
467441,precipitation,precipitation_1hr,H2,0.0,0.0,0.0,excellent,False
467441,precipitation,precipitation_1hr,H3,0.0,0.0,0.0,excellent,False
467441,precipitation,precipitation_1hr,H4,0.0,0.0,0.0,excellent,False
C4P01,tide_level,tide_level,H1,0.1309425876910488,0.1516339284555822,0.1309425876910488,excellent,False
C4P01,tide_level,tide_level,H2,0.18992325309664015,0.20717541365039333,0.18992325309664015,excellent,False
C4P01,tide_level,tide_level,H3,0.24184875200192138,0.24749520663885974,0.24184875200192138,excellent,False
C4P01,tide_level,tide_level,H4,0.18169983764489495,0.20287950632348883,0.18169983764489495,excellent,False
1786,tide_level,tide_level,H1,0.1405562523007393,0.16596551151545624,0.11109084159135818,excellent,False
1786,tide_level,tide_level,H2,0.21059611469507214,0.24827513566622864,0.21059611469507214,excellent,False
1786,tide_level,tide_level,H3,0.22567644201219075,0.2432498781751748,0.22567644201219075,excellent,False
1786,tide_level,tide_level,H4,0.160655310973525,0.203571545160066,0.15470879636704918,excellent,False
467441,wind_speed_gust,wind_speed,H1,0.6694011926651001,0.6862097155268471,0.6694011926651001,excellent,False
467441,wind_speed_gust,wind_speed,H2,0.7068104028701782,0.7204468230820343,0.7068104028701782,excellent,False
467441,wind_speed_gust,wind_speed,H3,0.5145445108413697,0.5278703672294649,0.5145445108413697,excellent,False
467441,wind_speed_gust,wind_speed,H4,0.37579672336578374,0.3937030074426079,0.37579672336578374,excellent,False
467441,wind_speed_gust,wind_gust,H1,2.7154549519220996,2.722702413949286,2.7154549519220996,poor,False
467441,wind_speed_gust,wind_gust,H2,2.878251576423646,2.8841273960308302,2.878251576423646,poor,False
467441,wind_speed_gust,wind_gust,H3,1.4677544136842096,1.5298398629945769,1.4677544136842096,excellent,False
467441,wind_speed_gust,wind_gust,H4,2.284219712018968,2.298498763857977,2.284219712018968,excellent,False
C4Q01,wind_speed_gust,wind_speed,H1,1.542267952859402,1.5698223800091005,1.542267952859402,poor,False
C4Q01,wind_speed_gust,wind_speed,H2,1.6302277266979222,1.655576483388983,1.6302277266979222,acceptable,False
C4Q01,wind_speed_gust,wind_speed,H3,1.6577219307422644,1.6772653140979104,1.6577219307422644,acceptable,False
C4Q01,wind_speed_gust,wind_speed,H4,1.8128872856497769,1.833577553128885,1.8128872856497769,excellent,False
C4Q01,wind_speed_gust,wind_gust,H1,2.4475212059915066,2.5075663252952993,2.4475212059915066,poor,False
C4Q01,wind_speed_gust,wind_gust,H2,2.3675472669303415,2.444997224240734,2.3675472669303415,acceptable,False
C4Q01,wind_speed_gust,wind_gust,H3,1.8191442519426346,1.9989648855023405,1.8191442519426346,excellent,False
C4Q01,wind_speed_gust,wind_gust,H4,2.0084813937544816,2.207248950937548,2.0084813937544816,excellent,False
C4Q01,tide_level,tide_level,H1,16.762509100294363,19.8879947715614,14.930634938335666,poor,False
C4Q01,tide_level,tide_level,H2,9.368803667680671,10.323830989673858,-1.3584988686876993,acceptable,False
C4Q01,tide_level,tide_level,H3,19.55515352077782,23.31168871669205,-13.224606139585376,poor,False
C4Q01,tide_level,tide_level,H4,16.215151889249682,18.677015109693066,-7.794288321708638,acceptable,False
C4Q02,wind_speed_gust,wind_speed,H1,1.3046796619892118,1.4195272655987847,1.3046796619892118,acceptable,False
C4Q02,wind_speed_gust,wind_speed,H2,0.5070184171199799,0.6593191406233332,0.41860594153404235,excellent,True
C4Q02,wind_speed_gust,wind_speed,H3,0.4771527349948881,0.5793187684900196,0.4457022964954374,excellent,True
C4Q02,wind_speed_gust,wind_speed,H4,2.5480271279811855,2.5884366158300653,2.5480271279811855,acceptable,False
C4Q02,wind_speed_gust,wind_gust,H1,1.2817658136288326,1.5212479388589764,1.2817658136288326,acceptable,False
C4Q02,wind_speed_gust,wind_gust,H2,0.8123477697372437,1.0761592077028506,0.7377907335758209,excellent,True
C4Q02,wind_speed_gust,wind_gust,H3,2.7204928596814475,2.9275439240426535,2.7204928596814475,acceptable,False
C4Q02,wind_speed_gust,wind_gust,H4,1.752745618422826,1.8946865748009718,1.752745618422826,excellent,False
C4Q02,tide_level,tide_level,H1,23.98025742266327,26.373307613203202,23.98025742266327,poor,False
C4Q02,tide_level,tide_level,H2,12.318658789930245,14.883489672596017,10.549906552769244,poor,False
C4Q02,tide_level,tide_level,H3,15.28165837439398,19.11789136907962,11.851700646802783,poor,False
C4Q02,tide_level,tide_level,H4,16.375390517835815,20.664335769974947,13.945947466418147,acceptable,False
C4P01,tide_level,tide_level,H1,13.094258769104878,15.163392845558223,13.094258769104878,poor,False
C4P01,tide_level,tide_level,H2,18.99232530966401,20.717541365039327,18.99232530966401,poor,False
C4P01,tide_level,tide_level,H3,24.184875200192135,24.749520663885967,24.184875200192135,poor,False
C4P01,tide_level,tide_level,H4,18.16998376448949,20.28795063234888,18.16998376448949,poor,False
1786,tide_level,tide_level,H1,14.055625230073929,16.596551151545626,11.109084159135818,poor,False
1786,tide_level,tide_level,H2,21.059611469507217,24.827513566622866,21.059611469507217,poor,False
1786,tide_level,tide_level,H3,22.567644201219082,24.32498781751748,22.567644201219082,poor,False
1786,tide_level,tide_level,H4,16.065531097352505,20.357154516006606,15.470879636704922,acceptable,False
467441,wind_speed_gust,wind_speed,H1,0.7564792417238156,0.9466657559404161,0.5145652850882875,excellent,False
467441,wind_speed_gust,wind_speed,H2,0.8310101971071627,1.0035452450105666,-0.44172628492530847,excellent,False
467441,wind_speed_gust,wind_speed,H3,0.8596173922634787,1.0191927121253483,-0.5843278136766619,excellent,False
467441,wind_speed_gust,wind_speed,H4,0.7065371561712688,0.8788369138376066,0.3476116633746359,excellent,False
467441,wind_speed_gust,wind_gust,H1,1.9899802876429424,2.5835324092793357,-1.28880901834755,acceptable,False
467441,wind_speed_gust,wind_gust,H2,1.7055837617345428,2.244886520915916,-0.7959104210717812,acceptable,False
467441,wind_speed_gust,wind_gust,H3,1.4635736134013642,1.8571054892292183,0.48100056680540226,excellent,False
467441,wind_speed_gust,wind_gust,H4,1.7289005910039497,2.1842331445165324,-0.986499679531488,excellent,False
467441,precipitation,precipitation_1hr,H1,1.442592614971929,5.790557507881972,-1.442592614971929,poor,True
467441,precipitation,precipitation_1hr,H2,1.442592614971929,5.790557507881972,-1.442592614971929,poor,True
467441,precipitation,precipitation_1hr,H3,1.3648148381944607,5.711343552004233,-1.3648148381944607,poor,True
467441,precipitation,precipitation_1hr,H4,1.3648148381944607,5.711343552004233,-1.3648148381944607,poor,True
467441,wind_speed_gust,wind_speed,H1,0.5341140180039737,0.6883761766808738,0.020381456402440865,excellent,True
467441,wind_speed_gust,wind_speed,H2,0.5368061822859778,0.6903518326569174,0.014089799328810644,excellent,True
467441,wind_speed_gust,wind_speed,H3,0.5882064361953073,0.7307573783407797,-0.15660232032338778,excellent,True
467441,wind_speed_gust,wind_speed,H4,0.5784256226155494,0.7207154075564328,0.057987312757306626,excellent,True
467441,wind_speed_gust,wind_gust,H1,1.2207195155598498,1.5865262661757564,0.12960220452811969,acceptable,False
467441,wind_speed_gust,wind_gust,H2,1.1373303713207996,1.506550475144322,-0.0770271628846727,excellent,False
467441,wind_speed_gust,wind_gust,H3,1.2227697171243253,1.5846860624919095,0.030583155279358096,excellent,True
467441,wind_speed_gust,wind_gust,H4,1.1960094002634285,1.5742001972743453,-0.1637982341122849,excellent,True
467441,precipitation,precipitation_1hr,H1,1.442592614971929,5.790557507881972,-1.442592614971929,poor,True
467441,precipitation,precipitation_1hr,H2,1.442592614971929,5.790557507881972,-1.442592614971929,poor,True
467441,precipitation,precipitation_1hr,H3,1.3648148381944607,5.711343552004233,-1.3648148381944607,poor,True
467441,precipitation,precipitation_1hr,H4,1.3648148381944607,5.711343552004233,-1.3648148381944607,poor,True
467441,wind_speed_gust,wind_speed,H1,0.5341140180039737,0.6883761766808738,0.020381456402440865,excellent,True
467441,wind_speed_gust,wind_speed,H2,0.5368061822859778,0.6903518326569174,0.014089799328810644,excellent,True
467441,wind_speed_gust,wind_speed,H3,0.5882064361953073,0.7307573783407797,-0.15660232032338778,excellent,True
467441,wind_speed_gust,wind_speed,H4,0.5784256226155494,0.7207154075564328,0.057987312757306626,excellent,True
467441,wind_speed_gust,wind_gust,H1,1.2207195155598498,1.5865262661757564,0.12960220452811969,acceptable,False
467441,wind_speed_gust,wind_gust,H2,1.1373303713207996,1.506550475144322,-0.0770271628846727,excellent,False
467441,wind_speed_gust,wind_gust,H3,1.2227697171243253,1.5846860624919095,0.030583155279358096,excellent,True
467441,wind_speed_gust,wind_gust,H4,1.1960094002634285,1.5742001972743453,-0.1637982341122849,excellent,True
467441,precipitation,precipitation_1hr,H1,1.442592614971929,5.790557507881972,-1.442592614971929,poor,True
467441,precipitation,precipitation_1hr,H2,1.442592614971929,5.790557507881972,-1.442592614971929,poor,True
467441,precipitation,precipitation_1hr,H3,1.3648148381944607,5.711343552004233,-1.3648148381944607,poor,True
467441,precipitation,precipitation_1hr,H4,1.3648148381944607,5.711343552004233,-1.3648148381944607,poor,True
467441,precipitation,precipitation_1hr,H1,1.4913395687109894,5.794040310726456,-1.3334991989312348,acceptable,True
467441,precipitation,precipitation_1hr,H2,1.5222778036638542,5.802317043947351,-1.3317373753835757,acceptable,True
467441,precipitation,precipitation_1hr,H3,1.5860141322085703,5.802325200368942,-1.0533496571704746,acceptable,True
467441,precipitation,precipitation_1hr,H4,1.4612763243003024,5.721060525300452,-1.22329060231094,acceptable,True
467441,precipitation,precipitation_1hr,H1,1.4913395687109894,5.794040310726456,-1.3334991989312348,poor,True
467441,precipitation,precipitation_1hr,H2,1.5222778036638542,5.802317043947351,-1.3317373753835757,poor,True
467441,precipitation,precipitation_1hr,H3,1.5860141322085703,5.802325200368942,-1.0533496571704746,poor,True
467441,precipitation,precipitation_1hr,H4,1.4612763243003024,5.721060525300452,-1.22329060231094,poor,True
467441,precipitation,precipitation_1hr,H1,1.5675822347816495,5.792488944345574,-1.1998069358920609,poor,True
467441,precipitation,precipitation_1hr,H2,1.59023878691649,5.813301296832176,-1.23567467658884,poor,True
467441,precipitation,precipitation_1hr,H3,1.956985954919623,5.874434932946356,-0.494808891063763,poor,False
467441,precipitation,precipitation_1hr,H4,1.5209893948364037,5.713509168657219,-1.1343207757920026,poor,True
467441,precipitation,precipitation_1hr,H1,1.5675822347816495,5.792488944345574,-1.1998069358920609,poor,True
467441,precipitation,precipitation_1hr,H2,1.5743221362569817,5.811402152931651,-1.2626593996115305,poor,True
467441,precipitation,precipitation_1hr,H3,1.6735008028439349,5.890110760403593,-0.9329375975454847,poor,True
467441,precipitation,precipitation_1hr,H4,1.512867733042825,5.730419826884185,-1.160173454997992,poor,True
467441,precipitation,precipitation_1hr,H1,3.7346367246796226,6.4396563196224585,1.9230470045505799,poor,False
467441,precipitation,precipitation_1hr,H2,3.057826057304592,6.0186715422409485,1.1796390025970316,poor,False
467441,precipitation,precipitation_1hr,H3,2.0695269346525964,5.295519903554514,0.23701086253967396,poor,False
467441,precipitation,precipitation_1hr,H4,1.4219945343283489,4.94852656227346,-0.5143738867671683,poor,False
467441,precipitation,precipitation_1hr,H1,3.911233097941492,6.504287263743976,2.0996433778124493,poor,False
467441,precipitation,precipitation_1hr,H2,3.397291973340072,6.216347569427934,1.5191049186325118,poor,False
